page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_210,210,page_210_semantic_2.csv,SCORE_TIED_RECENCY,76.81,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_211,211,page_211_semantic_2.csv,SCORE_TIED_RECENCY,80.36,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_212,212,page_212_semantic_2.csv,SCORE_CLEAR,75.08,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_213,213,page_213_semantic_2.csv,SCORE_CLEAR,75.62,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_214,214,page_214_semantic_3.csv,SCORE_TIED_RECENCY,79.24,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_215,215,page_215_semantic_3.csv,SCORE_CLEAR,76.7,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_216,216,page_216_semantic_3.csv,SCORE_TIED_RECENCY,73.41,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_217,217,page_217_semantic_2.csv,SCORE_CLEAR,72.65,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_218,218,page_218_semantic_3.csv,SCORE_TIED_RECENCY,76.04,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_219,219,page_219_semantic_2.csv,SCORE_TIED_RECENCY,76.74,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_220,220,page_220_semantic_2.csv,SCORE_CLEAR,75.96,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_221,221,page_221_semantic_3.csv,SCORE_TIED_RECENCY,73.65,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
