Name,Address,Location,Category,Role,Profession,Additional Info,Notes,Political Party,page_num,source_file,section,civic_num,civic_lett,sestiere_parsed,parish_parsed,sestiere_implied,match_note,location_cleaned,fail_reason,nom_classification,geocoding_tier,match_confidence,nominatim_query,llm_cleaned_address,nominatim_flagged,matched_lat,matched_lon,is_provincia,provincia_town
,Palazzo telefoni Mestre,,,Stazione Telefonica Amplificatrice del Cavo Nazionale,Ufficio postale,,,,63,page_63_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
Rapallino sig. Eugenio,"V. Direttore, Lido, Via Orso, appartamento 10 scala 3",,,Società Telefonica delle Venezie - “ Telve”,Ufficio postale,,,,63,page_63_semantic.csv,government,,,,,False,"Nominatim failed for 'Via Orso, Lido, appartamento 10 scala 3, Italy' — centroid for lido",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via Orso, Lido, appartamento 10 scala 3, Italy","Via Orso, Lido, appartamento 10 scala 3",False,45.4165,12.3706,,
Fracasso Antonio,VENEZIA • Via XXII Marzo,Dolo,,Consigliere Mandamento,fabbro meccanico,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim failed for 'Via XXII Marzo, Dolo, Italy' — centroid for dolo",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via XXII Marzo, Dolo, Italy","Via XXII Marzo, Dolo",False,45.421,12.0941,,
Cadamuro Morgante,VENEZIA • Via XXII Marzo,Portogruaro,,Consigliere Mandamento,fotografo,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim failed for 'Via XXII Marzo, Portogruaro, Italy' — centroid for portogruaro",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via XXII Marzo, Portogruaro, Italy","Via XXII Marzo, Portogruaro",False,45.7577,12.7691,,
Contiero Giuseppe,VENEZIA • Via XXII Marzo,Cavarzere,,Consigliere Mandamento,fabbro,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim failed for 'Via XXII Marzo, Cavarzere, Italy' — centroid for cavarzere",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via XXII Marzo, Cavarzere, Italy","Via XXII Marzo, Cavarzere",False,45.113,12.1329,,
Penso Raimondo,VENEZIA • Via XXII Marzo,Chioggia,,Presidente Ass.,mobilere,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim failed for 'Via XXII Marzo, Chioggia, Italy' — centroid for chioggia",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via XXII Marzo, Chioggia, Italy","Via XXII Marzo, Chioggia",False,45.2179,12.2271,,
Gasparini Bruno,VENEZIA • Via XXII Marzo,Mestre,,Presidente Ass.,mobilere,",",,,68,page_68_semantic.csv,government,,,,,False,"Nominatim failed for 'Via XXII Marzo, Mestre, Italy' — centroid for mestre",,no_civic_number,outside_venice,7b,centroid_nominatim_failed,"Via XXII Marzo, Mestre, Italy","Via XXII Marzo, Mestre",False,45.4943,12.2418,,
,Mestre,Isola San Severo,,,Ospedale Civile,Ospedale Psichiatrico Provinciale Maschile,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
,Mestre,Isola di San Clemente,,,Ospedale Civile,Ospedale Psichiatrico Provinciale Femminile di S. Clemente,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
,Mestre,Marocco di Mogliano Veneto,,,Ospedale Civile,Istituto Medico Pedagogico,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
,Mestre,Marocco di Mogliano Veneto,,,Ospedale Civile,Istituto Provinciale Sordomuti,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
,Mestre,Acquabona di Cortina d'Ampezzo,,,Ospedale Civile,COLONIA « G. ANGLOTTO »,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
,Mestre,S. Nicolo di Lido,,,Ospedale Civile,Istituto Elioterapico,,,85,page_85_semantic.csv,government,,,,,False,Town name only — centroid for mestre,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4943,12.2418,,
D’Altin don Attilio,SS. Giovanni e Paolo,S. Pietro di Murano,,,,Curia Patriarcale,,,86,page_86_semantic.csv,religious,,,,Santi Giovanni e Paolo,False,Town name only — centroid for murano,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4585,12.353,,
Bottaccio mons. Riccardo,TRIBUNALE DIOCESANO E METROPOLITANO,Chirignago,,,,ESAMINATORI PROSIONALDI,,,86,page_86_semantic.csv,religious,,,,,False,Town name only — centroid for chirignago,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4847,12.1888,,
Ongarato don Giuseppe,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,,Parroco,,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),,,92,page_92_semantic.csv,religious,,,,San Pietro,False,Town name only — centroid for lido,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4165,12.3706,,
Ghezzo don Giovanni,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,,Cooperatore,,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),,,92,page_92_semantic.csv,religious,,,,San Pietro,False,Town name only — centroid for lido,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4165,12.3706,,
Viaggi don Amedeo,SANTA MARIA ELISABETTA DI LIDO,Pietro Apostolo,,Cooperatore,,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),,,92,page_92_semantic.csv,religious,,,,San Pietro,False,Town name only — centroid for lido,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4165,12.3706,,
Prendin padre Andrea O.F.M.,SAN NICOLO' DI LIDO,Pietro Apostolo,,Rettore,,SAN GIACOMO APOSTOLO (S. Giacometto de Rialto),,,92,page_92_semantic.csv,religious,,,,San Pietro,False,Town name only — centroid for lido,,no_civic_number,outside_venice,7a,centroid_direct,,,False,45.4165,12.3706,,
