file,page_num,value,address_before,action
all_pages_20260721_1901_geocoded.csv,421,Via Fiurme 73,Rialto 199,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,428,Via G. Bruno numero 16,D. Duro 750,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,428,Via Miranese 61,D. Duro 750,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,428,Via Mouta San Michele 4,Castello 6265-A,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,428,Via Cippo 15,Cannaregio numero 6062,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,440,Via Rosa 27,San Marco numero 909-A,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,449,Via Paolucci 54.,"S. Marco 1683., Gal Teoria Matteotti 14",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,454,Cannaregio 461,"San Marco numero 4988, S. Maria del Giglio numero 2436",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,454,Cannaregio 461,San Marco 876,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,454,Cannaregio 461,Merletti e rinasc. S. Marco 3666,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 3728,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 3729,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 691,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 1771,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 2846,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 2062,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,San Marco 1165,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 225,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Zattere 779,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 857,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Croce 1609,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,"S. Croce 1609, Castello 2682",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,San Marco 3135,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 364,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 364,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,"San Marco 3632, D. Duro 2382",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,San Marco 876,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,San Marco 2358,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 987,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 2083,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 1907,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 1907,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 3046,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 3710,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Croce 2286,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,D. Duro 1642,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,San Marco 4357,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 2275,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,Cannaregio 3501,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 579,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 579,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Polo 579,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Marco 1473,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,455,Cannaregio 461,S. Stefano 2902,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,457,Cannaregio 461,Dorsoduro 2870,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,457,Cannaregio 461,Campo S. Luca 4557,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,465,Via Rosa B. 10,S. Maria del Giglio 2156,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,466,Via Miranese 5,D. Duro 1045,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,466,Via Negroponte 16,D. Duro 1045,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,466,Calle dei Fabbri 4685-B,San Polo 2296,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,466,Via Barovier 12,Campo S. Geremia 282,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,475,Via Lamen 1,"S. Marco, 2665",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,478,San Marco 4382,San Simeone 737,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,480,Via Macello 13,S. Polo 1571,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,480,Via P. Orseolo 14,S. Marco 1576,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,480,Cannaregio 5040,"Castello 4901, Andrea cafe (eserci4.)",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,480,Via M. Bragami din 14,Castello numero 1268,conflict_manual_review
