category,frequency,cluster_id,category_name
"Guanti, Pizzi, Ricami a mano, Esportazione",1,0,"Textiles, clothing"
macchine per cucire,1,0,"Textiles, clothing"
articoli igienici,1,0,"Textiles, clothing"
"stoffe per arredamenti, tendeaggi e tappezzi, Filiali a Roma, Milano, Torino, Firenze",1,0,"Textiles, clothing"
Ingrosso Maglierie,1,0,"Textiles, clothing"
tendaggi e tappeti,1,0,"Textiles, clothing"
sartoria e confezioni per signorа,1,0,"Textiles, clothing"
lavandera e stireira,1,0,"Textiles, clothing"
Stole e tessuti,1,0,"Textiles, clothing"
botigli°eria,1,0,"Textiles, clothing"
Fiori piante e sementi,1,0,"Textiles, clothing"
gioiellera (rivendita),1,0,"Textiles, clothing"
parrucchiera per signora,1,0,"Textiles, clothing"
orefeceria gioielleria,1,0,"Textiles, clothing"
Agenzie di trasporto,323,1,"Transport, shipping & maritime trades"
Cantieri Navali,38,1,"Transport, shipping & maritime trades"
Noleggio imbarcazioni,28,1,"Transport, shipping & maritime trades"
spedizioni e trasporti,23,1,"Transport, shipping & maritime trades"
Agenzie marittime,20,1,"Transport, shipping & maritime trades"
Recuperi navali,19,1,"Transport, shipping & maritime trades"
Cantiere Navale,18,1,"Transport, shipping & maritime trades"
Trasporti marittimi con motanavi e motovelieri,18,1,"Transport, shipping & maritime trades"
cantiere navale,13,1,"Transport, shipping & maritime trades"
Autotrasporti,9,1,"Transport, shipping & maritime trades"
Società di navigazione,9,1,"Transport, shipping & maritime trades"
noleggio imbarcazioni,9,1,"Transport, shipping & maritime trades"
ARMAZIONI MARITTIME,9,1,"Transport, shipping & maritime trades"
Trasporti,8,1,"Transport, shipping & maritime trades"
autotrasporti,8,1,"Transport, shipping & maritime trades"
Case di Spedizioni,8,1,"Transport, shipping & maritime trades"
TRASPORTI FLUVIALI E LAGUNARI,6,1,"Transport, shipping & maritime trades"
agenzia marittima,6,1,"Transport, shipping & maritime trades"
Ferrovie dello Stato,6,1,"Transport, shipping & maritime trades"
Fornitori di bordo,5,1,"Transport, shipping & maritime trades"
trasporti marittimi fluviali e terrestri,5,1,"Transport, shipping & maritime trades"
Mediatori e sensali marittimi,5,1,"Transport, shipping & maritime trades"
Spedizioni e trasporti,5,1,"Transport, shipping & maritime trades"
Lavori manovalanza,4,1,"Transport, shipping & maritime trades"
Spedizioni e Trasporti,4,1,"Transport, shipping & maritime trades"
Trasporti fluviali,3,1,"Transport, shipping & maritime trades"
Motori marini,3,1,"Transport, shipping & maritime trades"
Navigazione fluviale,3,1,"Transport, shipping & maritime trades"
importazioni ed esportazioni varie,3,1,"Transport, shipping & maritime trades"
pesca marittima,3,1,"Transport, shipping & maritime trades"
Agenzia Marittima,2,1,"Transport, shipping & maritime trades"
Anonima di Navigazione,2,1,"Transport, shipping & maritime trades"
Agenzie di viaggio e turismo,2,1,"Transport, shipping & maritime trades"
Armatori,2,1,"Transport, shipping & maritime trades"
Costruzioni e riparazioni navali,2,1,"Transport, shipping & maritime trades"
Esportazioni,2,1,"Transport, shipping & maritime trades"
Forniture navali e industriali,2,1,"Transport, shipping & maritime trades"
Lavori portuali,2,1,"Transport, shipping & maritime trades"
Navigazione lagunare,2,1,"Transport, shipping & maritime trades"
Portabagagli,2,1,"Transport, shipping & maritime trades"
Provveditori marittimi,2,1,"Transport, shipping & maritime trades"
Riparazioni barche e motori,2,1,"Transport, shipping & maritime trades"
Spedizioni e trasporfti,2,1,"Transport, shipping & maritime trades"
Agenzia Trasporti,2,1,"Transport, shipping & maritime trades"
Trasporti marittimi,2,1,"Transport, shipping & maritime trades"
navi (demolizione),2,1,"Transport, shipping & maritime trades"
Agenzia marittima,2,1,"Transport, shipping & maritime trades"
cantieri navale,2,1,"Transport, shipping & maritime trades"
Casa di Spedizioni,2,1,"Transport, shipping & maritime trades"
autorasporti,2,1,"Transport, shipping & maritime trades"
Trasporti marittimi fluviali e terrestri,2,1,"Transport, shipping & maritime trades"
shipping and transportation,2,1,"Transport, shipping & maritime trades"
Agenzie di traslochi,1,1,"Transport, shipping & maritime trades"
Agenzia Marittima e Casa di Spedizioni,1,1,"Transport, shipping & maritime trades"
Agenzie di trasporti,1,1,"Transport, shipping & maritime trades"
"""Cantieri Navali""",1,1,"Transport, shipping & maritime trades"
Cantiere Navale e Officine Meccaniche,1,1,"Transport, shipping & maritime trades"
CANTIERE NAVALE,1,1,"Transport, shipping & maritime trades"
Demolizione Navi,1,1,"Transport, shipping & maritime trades"
Forniture per imbarcazioni,1,1,"Transport, shipping & maritime trades"
Forniture marittime,1,1,"Transport, shipping & maritime trades"
provveditoria marittimo,1,1,"Transport, shipping & maritime trades"
forniture navali,1,1,"Transport, shipping & maritime trades"
"__SECTION__,,Imberchi e sbarchi""",1,1,"Transport, shipping & maritime trades"
COSTRUZIONI PONTILI E OPERE PORTUALI,1,1,"Transport, shipping & maritime trades"
"Sestri, Agenzia di Padova: Ditta Michele Trappetti. Corso del Popolo, 1, Telefono: 24-587. Motori Diesel ad iniezione meccanica per impianti fissi e marini, Motori a gasogeno.",1,1,"Transport, shipping & maritime trades"
Agenzia Marittima e spedizioni internazionali,1,1,"Transport, shipping & maritime trades"
di spedizione,1,1,"Transport, shipping & maritime trades"
Trasporti aerei,1,1,"Transport, shipping & maritime trades"
Trasporti marittimi e fluviali,1,1,"Transport, shipping & maritime trades"
Società Adriatica Trasporti Turismo Imbarchi,1,1,"Transport, shipping & maritime trades"
TRASPORTI POSTALI,1,1,"Transport, shipping & maritime trades"
TRASPORTI SERVIZI PORTUALI,1,1,"Transport, shipping & maritime trades"
trasporti fluviali,1,1,"Transport, shipping & maritime trades"
costruzioni e riparazioni navali,1,1,"Transport, shipping & maritime trades"
provveditorii marittima,1,1,"Transport, shipping & maritime trades"
Importazioni ed esportazioni varie,1,1,"Transport, shipping & maritime trades"
"Trasporti marittimi, fluviali e terrestri",1,1,"Transport, shipping & maritime trades"
Organizzazione Trasporti di qualsiasi tipo,1,1,"Transport, shipping & maritime trades"
"Cantieri navali, trasporti marittimi fluviali e terrestri",1,1,"Transport, shipping & maritime trades"
mediatrice e sensale marittima,1,1,"Transport, shipping & maritime trades"
imprese e opere marittime,1,1,"Transport, shipping & maritime trades"
