category_value,override_name,cluster_id,default_name_would_have_been
Aspirapolvere,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Stufe,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Termometri,"Office equipment, electrical, mechanical & industrial trades",2,general retail
tipografa,"Office equipment, electrical, mechanical & industrial trades",2,general retail
automatismi,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Pianoforti,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Strucchi,"Food, grocery & hospitality trade",2,general retail
liquori,"Food, grocery & hospitality trade",2,general retail
lateria,"Food, grocery & hospitality trade",2,general retail
leatarie,"Food, grocery & hospitality trade",2,general retail
trattorìa,"Food, grocery & hospitality trade",2,general retail
trattorio,"Food, grocery & hospitality trade",2,general retail
tratto-ia,"Food, grocery & hospitality trade",2,general retail
trattatia,"Food, grocery & hospitality trade",2,general retail
ristor ante,"Food, grocery & hospitality trade",2,general retail
osterica,"Food, grocery & hospitality trade",2,general retail
oste,"Food, grocery & hospitality trade",2,general retail
foraggi,"Food, grocery & hospitality trade",2,general retail
Foraggi,"Food, grocery & hospitality trade",2,general retail
caffe,"Food, grocery & hospitality trade",2,general retail
caffe',"Food, grocery & hospitality trade",2,general retail
caffe (serezizi),"Food, grocery & hospitality trade",2,general retail
contoi e casearia,"Food, grocery & hospitality trade",2,general retail
latte,"Food, grocery & hospitality trade",2,general retail
Latte,"Food, grocery & hospitality trade",2,general retail
pasticciere,"Food, grocery & hospitality trade",2,general retail
pasticcera,"Food, grocery & hospitality trade",2,general retail
conservere,"Food, grocery & hospitality trade",2,general retail
tabachcheria,"Food, grocery & hospitality trade",2,general retail
Orzo,"Food, grocery & hospitality trade",2,general retail
budella,"Food, grocery & hospitality trade",2,general retail
sciroppi liguori,"Food, grocery & hospitality trade",2,general retail
levita,"Food, grocery & hospitality trade",2,general retail
baccaleria,"Food, grocery & hospitality trade",2,general retail
dolciumi (mag osso),"Food, grocery & hospitality trade",2,general retail
carni equine,"Food, grocery & hospitality trade",2,general retail
Carni equine,"Food, grocery & hospitality trade",2,general retail
hotelgieria,"Food, grocery & hospitality trade",2,general retail
Molino,"Food, grocery & hospitality trade",2,general retail
molino,"Food, grocery & hospitality trade",2,general retail
Molini,"Food, grocery & hospitality trade",2,general retail
Ghiaccio (tabralerio),"Food, grocery & hospitality trade",2,general retail
valli cultura,"Food, grocery & hospitality trade",2,general retail
Zuccherifici,"Food, grocery & hospitality trade",2,general retail
Coloniali,"Food, grocery & hospitality trade",2,general retail
Conserve,"Food, grocery & hospitality trade",2,general retail
Malto,"Food, grocery & hospitality trade",2,general retail
agrumi,"Food, grocery & hospitality trade",2,general retail
nacelleria,"Food, grocery & hospitality trade",2,general retail
aimenzanti (dett.),"Food, grocery & hospitality trade",2,general retail
macellazione,"Food, grocery & hospitality trade",2,general retail
Macellazione,"Food, grocery & hospitality trade",2,general retail
macellaia,"Food, grocery & hospitality trade",2,general retail
macellaio,"Food, grocery & hospitality trade",2,general retail
